Book-Title,ISBN,Book-Author,Year-Of-Publication,Avg-rating,description,page,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
A Great Deliverance,553278029,Elizabeth George,1989,4.05,"To this day, the low, thin wail of an infant can be heard in Keldale's lush green valleys. Three hundred years ago, as legend goes, the frightened Yorkshire villagers smothered a crying babe in Keldale Abbey, where they'd hidden to escape the ravages of Cromwell's raiders.Now into Keldale's pastoral web of old houses and older secrets comes Scotland Yard Inspector Thomas Lynley, the eighth earl of Asherton. Along with the redoubtable Detective Sergeant Barbara Havers, Lynley has been sent to solve a savage murder that has stunned the peaceful countryside. For fat, unlovely Roberta Teys has been found in her best dress, an axe in her lap, seated in the old stone barn beside her father's headless corpse. Her first and last words were ""I did it. And I'm not sorry.""Yet as Lynley and Havers wind their way through Keldale's dark labyrinth of secret scandals and appalling crimes, they uncover a shattering series of revelations that will reverberate through this tranquil English valley‚Äîand in their own lives as well.",413,Bantam Books,http://images.amazon.com/images/P/0553278029.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553278029.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553278029.01.LZZZZZZZ.jpg
A Heartbreaking Work of Staggering Genius,375725784,Dave Eggers,2001,3.69,"'When you read his extraordinary memoir you don't laugh, then cry, then laugh again; you somehow experience these emotions all at once.'""Well, this was when Bill was sighing a lot. He had decided that after our parents died he just didn't want any more fighting between what was left of us. He was twenty-four, Beth was twenty-three, I was twenty-one, Toph was eight, and all of us were so tried already, from that winter. So when something would come up, any little thing, some bill to pay or decision to make, he would just sigh, his eyes tired, his mouth in a sorry kind of smile. But Beth and I...Jesus, we were fighting with everyone, anyone, each other, with strangers at bars, anywhere -- we were angry people wanting to exact revenge. We came to California and we wanted everything, would take what was ours, anything within reach. And I decided that little Toph and I, he with his backward hat and long hair, living together in our little house in Berkeley, would be world-destroyers. We inherited each other and, we felt, a responsibility to reinvent everything, to scoff and re-create and drive fast while singing loudly and pounding the windows. It was a hopeless sort of exhilaration, a kind of arrogance born of fatalism, I guess, of the feeling that if you could lose a couple of parents in a month, then basically anything could happen, at any time -- all bullets bear your name, all cars are there to crush you, any balcony could give way; more disaster seemed only logical. And then, as in Dorothy's dream, all these people I grew up with were there, too, some of them orphans also, most but not all of us believing that what we had been given was extraordinary, that it was time to tear or break down, ruin, remake, take and devour. This was San Francisco, you know, and everyone had some dumb idea -- I mean, wicca? -- and no one there would tell you yours was doomed. Thus the public nudity, and this ridiculous magazine, and the Real World tryout, all this need, most of it disguised by sneering, but all driven by a hyper-awareness of this window, I guess, a few years when your muscles are taut, coiled up and vibrating. But what to do with the energy? I mean, when we drive, Toph and I, and we drive past people, standing on top of all these hills, part of me wants to stop the car and turn up the radio and have us all dance in formation, and part of me wants to run them all over.""",485,Vintage Books USA,http://images.amazon.com/images/P/0375725784.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.LZZZZZZZ.jpg
A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),553279912,SUE GRAFTON,1987,3.85,"A IS FOR AVENGERA tough-talking former cop, private investigator Kinsey Millhone has set up a modest detective agency in a quiet corner of Santa Teresa, California. A twice-divorced loner with few personal possessions and fewer personal attachments, she's got a soft spot for underdogs and lost causes.A IS FOR ACCUSEDThat's why she draws desperate clients like Nikki Fife. Eight years ago, she was convicted of killing her philandering husband. Now she's out on parole and needs Kinsey's help to find the real killer. But after all this time, clearing Nikki's bad name won't be easy.",308,Bantam,http://images.amazon.com/images/P/0553279912.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553279912.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553279912.01.LZZZZZZZ.jpg
A Lesson Before Dying (Vintage Contemporaries (Paperback)),375702709,Ernest J. Gaines,1997,3.96,"A Lesson Before Dying is set in a small Cajun community in the late 1940s. Jefferson, a young black man, is an unwitting party to a liquor store shoot out in which three men are killed; the only survivor, he is convicted of murder and sentenced to death. Grant Wiggins, who left his hometown for the university, has returned to the plantation school to teach. As he struggles with his decision whether to stay or escape to another state, his aunt and Jefferson's godmother persuade him to visit Jefferson in his cell and impart his learning and his pride to Jefferson before his death. In the end, the two men forge a bond as they both come to understand the simple heroism of resisting and defying the expected. Ernest J. Gaines brings to this novel the same rich sense of place, the same deep understanding of the human psyche, and the¬†same compassion for a people and their struggle that have informed his previous, highly praised works of fiction.",256,Vintage Books USA,http://images.amazon.com/images/P/0375702709.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375702709.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375702709.01.LZZZZZZZ.jpg
A Man Named Dave: A Story of Triumph and Forgiveness,525945210,David J. Pelzer,1999,4.21,"Dave Pelzer's remarkable journey from a child who lived in terror of his unstable, violently unpredictable mother's every move, to his emergence as an inspiration the world over is a remarkable tale of survival and the triumph of the human spirit over adversity.Dave Pelzer's three volumes of memoirs - A Child Called 'It', The Lost Boy and A Man Named Dave - brought this story of courage and triumph against all odds to the world, becoming global bestsellers.My Story brings these volumes together, following Dave from a childhood spent in fear, his tempestuous teenage years haunted by the spectre of his mother, through to his adulthood, and his great achievement of not only understanding and reconciling the story of his own life, but his dedication to helping others overcome similar adversity.It is a remarkable story of courage and survival, already embraced by millions and destined to inspire millions more.",437,Dutton Books,http://images.amazon.com/images/P/0525945210.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525945210.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525945210.01.LZZZZZZZ.jpg
A Man in Full,374270325,Tom Wolfe,1998,3.84,"The setting is Atlanta, Georgia ‚Äî a racially mixed, late-century boomtown full of fresh wealth and wily politicians. The protagonist is Charles Croker, once a college football star, now a late-middle-aged Atlanta conglomerate king whose outsize ego has at last hit up against reality. Charlie has a 29,000 acre quail-shooting plantation, a young and demanding second wife, and a half-empty office complex with a staggering load of debt.Meanwhile, Conrad Hensley, idealistic young father of two, is laid off from his job at the Croker Global Foods warehouse near Oakland and finds himself spiraling into the lower depths of the American legal system.And back in Atlanta, when star Georgia Tech running back Fareek ‚Äúthe Canon‚Äù Fanon, a homegrown product of the city‚Äôs slums, is accused of date-raping the daughter of a pillar of the white establishment, upscale black lawyer Roger White II is asked to represent Fanon and help keep the city‚Äôs delicate racial balance from blowing sky-high.Networks of illegal Asian immigrants crisscrossing the continent, daily life behind bars, shady real estate syndicates ‚Äî Wolfe shows us contemporary America with all the verve, wit, and insight that have made him our most admired novelist. Charlie Croker‚Äôs deliverance from his tribulations provides an unforgettable denouement to the most widely awaited, hilarious and telling novel America has seen in ages ‚Äî Tom Wolfe‚Äôs most outstanding achievement to date.",704,Farrar Straus &amp; Giroux,http://images.amazon.com/images/P/0374270325.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374270325.01.LZZZZZZZ.jpg
A Map of the World,385500769,Jane Hamilton,1999,4.38,"Maps help us understand the world. This book features the most original and sought-after map illustrators whose work is in line with the zeitgeist. Drawing a map means understanding our world a bit better. For centuries, we have used the tools of cartography to represent both our immediate surroundings and the world at large--and to convey them to others. On the one hand, maps are used to illustrate areal relationships, including distances, dimensions, and topographies. On the other, maps can also serve as projection screens for a variety of display formats, such as illustration, data visualization, and visual storytelling. In our age of satellite navigation systems and Google Maps, personal interpretations of the world around us are becoming more relevant. Publications, the tourism industry, and other commercial parties are using these contemporary, personal maps to showcase specific regions, to characterize local scenes, to generate moods, and to tell stories beyond sheer navigation. A new generation of designers, illustrators, and mapmakers are currently discovering their passion for various forms of illustrative cartography. A Map of the World is a compelling collection of their work--from accurate and surprisingly detailed representations to personal, naive, and modernistic interpretations. The featured projects from around the world range from maps and atlases inspired by classic forms to cartographic experiments and editorial illustrations. ",224,Doubleday Books,http://images.amazon.com/images/P/0385500769.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385500769.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385500769.01.LZZZZZZZ.jpg
A Painted House,044023722X,John Grisham,2001,3.71,"""The hill people and the Mexicans arrived on the same day. It was a Wednesday, early in September 1952. The Cardinals were five games behind the Dodgers with three weeks to go, and the season looked hopeless. The cotton, however, was waist-high to my father, over my head, and he and my grandfather could be heard before supper whispering words that were seldom heard. It could be a ""good crop.""Thus begins the new novel from John Grisham, a story inspired by his own childhood in rural Arkansas. The narrator is a farm boy named Luke Chandler, age seven, who lives in the cotton fields with his parents and grandparents in a little house that's never been painted. The Chandlers farm eighty acres that they rent, not own, and when the cotton is ready they hire a truckload of Mexicans and a family from the Ozarks to help harvest it.For six weeks they pick cotton, battling the heat, the rain, the fatigue, and sometimes each other. As the weeks pass Luke sees and hears things no seven-year-old could possibly be prepared for, and he finds himself keeping secrets that not only threaten the crop but will change the lives of the Chandlers forever. ¬©2000, 2001 Belfry Holdings, Inc. (P)2001 Random House, Inc. Bantam Doubleday Dell Audio Publishing, a Division of Random House, Inc.",384,Dell Publishing Company,http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
A Patchwork Planet,080411918X,ANNE TYLER,2001,3.8,"In this, her fourteenth novel--and one of her most endearing--Anne Tyler tells the story of a lovable loser who's trying to get his life in order. ",320,Ballantine Books,http://images.amazon.com/images/P/080411918X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080411918X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080411918X.01.LZZZZZZZ.jpg
A Prayer for Owen Meany,345361792,John Irving,1990,4.23,"Eleven-year-old Owen Meany, playing in a Little League baseball game in Gravesend, New Hampshire, hits a foul ball and kills his best friend's mother. Owen doesn't believe in accidents; he believes he is God's instrument. What happens to Owen after that 1953 foul is both extraordinary and terrifying. At moments a comic, self-deluded victim, but in the end the principal, tragic actor in a divine plan, Owen Meany is the most heartbreaking hero John Irving has yet created.",637,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345361792.01.LZZZZZZZ.jpg
A Thin Dark Line (Mysteries &amp; Horror),553571885,TAMI HOAG,1998,4.02,"Terror stalks the streets of Bayou Breaux, Louisiana. A suspected murderer is free on a technicality, and the cop accused of planting evidence against him is ordered off the case. But Detective Nick Fourcade refuses to walk away. Heís stepped over the line before. This case threatens to push him over the edge. Heís not the only one. Deputy Annie Broussard found the womanís mutilated body. She still hears the phantom echoes of dying screams. She wants justice. But pursuing the investigation will mean forming an alliance with a man she doesnít trust and making enemies of the men she works with. It will mean being drawn into the confidence of a killer. For Annie Broussard, finding justice will mean risking everythingóincluding her life. The search for the truth has begunóone that will lead down a twisted trail through the steamy bayous of Louisiana, and deep into the darkest reaches of the human heart.",592,Bantam,http://images.amazon.com/images/P/0553571885.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553571885.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553571885.01.LZZZZZZZ.jpg
A Thousand Acres (Ballantine Reader's Circle),449907481,JANE SMILEY,1992,3.82,"Aging Larry Cook announces his intention to turn over his 1,000-acre farmóone of the largest in Zebulon County, Iowaóto his three daughters, Caroline, Ginny, and Rose. A man of harsh sensibilities, he carves Caroline out of the deal because she has the nerve to be less than enthusiastic about her father's generosity. While Larry Cook deteriorates into a pathetic drunk, his daughters are left to cope with the often grim realities of life on a family farmófrom battering husbands to cutthroat lenders. In this winner of the 1992 Pulitzer Prize for Fiction, Smiley captures the essence of such a life with stark, painful detail.",371,Ballantine Books,http://images.amazon.com/images/P/0449907481.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449907481.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449907481.01.LZZZZZZZ.jpg
A Time to Kill,440211727,JOHN GRISHAM,1992,4.11,"Librarian's Note: Alternate-cover edition for ISBN 0385338600 / 9780385338608Before The Firm and The Pelican Brief made him a superstar, John Grisham wrote this riveting story of retribution and justice. In this searing courtroom drama, best-selling author John Grisham probes the savage depths of racial violence...as he delivers a compelling tale of uncertain justice in a small southern town...Clanton, Mississippi. The life of a ten-year-old girl is shattered by two drunken and remorseless young men. The mostly white town reacts with shock and horror at the inhuman crime. Until her black father acquires an assault rifle and takes matters into his hands.For ten days, as burning crosses and the crack of sniper fire spread through the streets of Clanton, the nation sits spellbound as young defense attorney Jake Brigance struggles to save his client's life...and then his own.",738,Dell,http://images.amazon.com/images/P/0440211727.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg
A Virtuous Woman (Oprah's Book Club (Paperback)),375703063,Kaye Gibbons,1997,3.69,"When Blinking Jack Stokes met Ruby Pitt Woodrow, she was twenty and he was forty. She was the carefully raised daughter of Carolina gentry and he was a skinny tenant farmer who had never owned anything in his life. She was newly widowed after a disastrous marriage to a brutal drifter. He had never asked a woman to do more than help him hitch a mule. They didn't fall in love so much as they simply found each other and held on for dear life.Kaye Gibbons's first novel, Ellen Foster, won the Sue Kaufman Prize for First Fiction from the American Academy and Institute of Arts and Letters and the praise of writers from Walker Percy to Eudora Welty. In A Virtuous Woman, Gibbons transcends her early promise, creating a multilayered and indelibly convincing portrait of two seemingly ill-matched people who somehow miraculously make a marriage.",165,Vintage Books,http://images.amazon.com/images/P/0375703063.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375703063.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375703063.01.LZZZZZZZ.jpg
A Walk to Remember,446608955,Nicholas Sparks,2000,4.18,"There was a time when the world was sweeter...when the women in Beaufort, North Carolina, wore dresses, and the men donned hats...when something happened to a seventeen-year-old boy that would change his life forever. Every April, when the wind blows in from the sea and mingles with the scent of lilacs, Landon Carter remembers his last year at Beaufort High. It was 1958, and Landon had already dated a girl or two. He even swore that he had once been in love. Certainly the last person in town he thought he'd fall for was Jamie Sullivan, the daughter of the town's Baptist minister. A quiet girl who always carried a Bible with her schoolbooks, Jamie seemed content living in a world apart from the other teens. She took care of her widowed father, rescued hurt animals, and helped out at the local orphanage. No boy had ever asked her out. Landon would never have dreamed of it. Then a twist of fate made Jamie his partner for the homecoming dance, and Landon Carter's life would never be the same. Being with Jamie would show him the depths of the human heart and lead him to a decision so stunning it would send him irrevocably on the road to manhood. No other author today touches our emotions more deeply than Nicholas Sparks.Illuminating both the strength and the gossamer fragility of our deepest emotions, his two New York Times bestsellers, The Notebook and Message in a Bottle, have established him as the leading author of today's most cherished love stories. Now, in A Walk to Remember, he tells a truly unforgettable story, one that glimmers with all of his magic, holding us spellbound-and reminding us that in life each of us may find one great love, the kind that changes everything...",215,Warner Books,http://images.amazon.com/images/P/0446608955.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446608955.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446608955.01.LZZZZZZZ.jpg
A Widow for One Year,345424719,JOHN IRVING,1999,3.76,"‚ÄúOne night when she was four and sleeping in the bottom bunk of her bunk bed, Ruth Cole woke to the sound of lovemaking‚Äîit was coming from her parents‚Äô bedroom.‚ÄùThis sentence opens John Irving‚Äôs ninth novel, A Widow for One Year, a story of a family marked by tragedy. Ruth Cole is a complex, often self-contradictory character‚Äîa ‚Äúdifficult‚Äù woman. By no means is she conventionally ‚Äúnice,‚Äù but she will never be forgotten.Ruth‚Äôs story is told in three parts, each focusing on a critical time in her life. When we first meet her‚Äîon Long Island, in the summer of 1958‚ÄîRuth is only four.The second window into Ruth‚Äôs life opens on the fall of 1990, when she is an unmarried woman whose personal life is not nearly as successful as her literary career. She distrusts her judgment in men, for good reason.A Widow for One Year closes in the autumn of 1995, when Ruth Cole is a forty-one-year-old widow and mother. She‚Äôs about to fall in love for the first time.Richly comic, as well as deeply disturbing, A Widow for One Year is a multilayered love story of astonishing emotional force. Both ribald and erotic, it is also a brilliant novel about the passage of time and the relentlessness of grief.Source: john-irving.com",576,Ballantine Books,http://images.amazon.com/images/P/0345424719.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345424719.01.LZZZZZZZ.jpg
A Wrinkle In Time,440498058,MADELEINE L'ENGLE,1998,4,"It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure‚Äîone that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.",218,Yearling,http://images.amazon.com/images/P/0440498058.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440498058.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440498058.01.LZZZZZZZ.jpg
A Wrinkle in Time,440998050,Madeleine L'Engle,1976,4,"It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure‚Äîone that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.",218,Laure Leaf,http://images.amazon.com/images/P/0440998050.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440998050.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440998050.01.LZZZZZZZ.jpg
A Year in Provence,679731148,Peter Mayle,1991,4,"In this witty and warm-hearted account, Peter Mayle tells what it is like to realize a long-cherished dream and actually move into a 200-year-old stone farmhouse in the remote country of the LubÈron with his wife and two large dogs. He endures January's frosty mistral as it comes howling down the RhÙne Valley, discovers the secrets of goat racing through the middle of town, and delights in the glorious regional cuisine.†A Year in Provence†transports us into all the earthy pleasures of ProvenÁal life and lets us live vicariously at a tempo governed by seasons, not by days.",224,Vintage Books USA,http://images.amazon.com/images/P/0679731148.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.LZZZZZZZ.jpg
